n1,n2
0.015625,0.109375
0.015625,0.109375
0.0,0.234375
0.015625,0.21875
0.03125,0.25
0.015625,0.390625
0.03125,0.34375
0.015625,0.453125
0.03125,0.671875
0.046875,0.640625
0.0625,0.875
0.0625,0.8125
0.0625,0.96875
0.046875,1.015625
0.046875,1.1875
0.078125,1.3125
0.078125,1.734375
0.125,1.734375
0.140625,2.0625
0.125,2.171875
0.171875,2.53125
0.109375,2.671875
0.1875,2.75
0.0625,1.953125
0.25,3.4375
0.25,3.71875
0.203125,3.46875
0.359375,4.1875
0.28125,4.3125
0.359375,4.765625
0.375,5.5
0.390625,5.71875
0.234375,4.9375
0.25,5.53125
0.46875,7.453125
0.5,8.265625
0.5,8.25
0.1875,6.0
0.546875,9.265625
0.359375,8.375
0.59375,9.640625
0.40625,8.9375
0.71875,10.8125
0.828125,14.1875
0.5625,11.890625
0.53125,11.125
0.625,11.921875
0.671875,12.609375
1.140625,18.390625
1.265625,18.09375
0.703125,16.109375
1.109375,19.21875
1.109375,21.21875
1.1875,20.796875
1.0,19.0
1.140625,22.109375
1.40625,25.140625
0.25,13.921875
0.921875,21.046875
1.484375,27.359375
2.0625,33.03125
2.03125,31.734375
0.890625,25.09375
2.0,32.453125
0.625,23.609375
1.53125,29.734375
0.8125,21.765625
0.46875,22.328125
2.875,44.6875
2.75,44.28125
2.34375,44.078125
2.625,44.703125
2.796875,45.65625
2.4375,43.328125
3.046875,50.46875
3.0,49.984375
2.484375,47.65625
2.828125,51.234375
2.6875,53.15625
2.546875,52.4375
3.5,60.25
1.984375,45.9375
3.875,67.34375
3.015625,61.046875
3.34375,64.0
2.859375,67.609375
3.046875,64.28125
4.015625,72.09375
4.078125,75.125
4.1875,78.125
4.234375,80.65625
2.890625,68.265625
3.5,74.078125
4.375,86.453125
4.59375,111.625
6.0625,105.390625
